Year,Make,Model,Trim,Body,Transmission,Vin,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2015,Kia,Sorento,LX,SUV,Automatic,5xyktca69fg566472,CA,5,16639,White,Black,Kia Motors America Inc,20500,21500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,Automatic,5xyktca69fg561319,CA,5,9393,White,Beige,Kia Motors America Inc,20800,21500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,BMW,3 Series,328i SULEV,Sedan,Automatic,wba3c1c51ek116351,CA,45,1331,Gray,Black,Financial Services Remarketing (Lease),31900,30000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2015,Volvo,S60,T5,Sedan,Automatic,yv1612tb4f1310987,CA,41,14282,White,Black,Volvo Na Rep/World Omni,27500,27750,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2014,BMW,6 Series Gran Coupe,650i,Sedan,Automatic,wba6b2c57ed129731,CA,43,2641,Gray,Black,Financial Services Remarketing (Lease),66000,67000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2015,Nissan,Altima,2.5 S,Sedan,Automatic,1n4al3ap1fn326013,CA,1,5554,Gray,Black,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,15350,10900,Tue Dec 30 2014 12:00:00 GMT-0800 (PST)
2014,BMW,M5,Base,Sedan,Automatic,wbsfv9c51ed593089,CA,34,14943,Black,Black,The Hertz Corporation,69000,65000,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,1LT,Sedan,Automatic,1g1pc5sb2e7128460,CA,2,28617,Black,Black,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,11900,9800,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2014,Audi,A4,2.0T Premium Plus quattro,Sedan,Automatic,wauffafl3en030343,CA,42,9557,White,Black,Audi Mission Viejo,32100,32250,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,Chevrolet,Camaro,LT,Convertible,Automatic,2g1fb3d37e9218789,CA,3,4809,Red,Black,D/M Auto Sales Inc,26300,17500,Tue Jan 20 2015 04:00:00 GMT-0800 (PST)
2014,Audi,A6,3.0T Prestige quattro,Sedan,Automatic,wauhgafc0en062916,CA,48,14414,Black,Black,Desert Auto Trade,47300,49750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Kia,Optima,LX,Sedan,Automatic,5xxgm4a73fg353538,CA,48,2034,Red,Tan,Kia Motors Finance,15150,17700,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2015,Ford,Fusion,SE,Sedan,Automatic,3fa6p0hdxfr145753,CA,2,5559,White,Beige,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,15350,12000,Tue Jan 13 2015 12:00:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,Automatic,5xyktca66fg561407,CA,5,14634,Silver,Black,Kia Motors America Inc,20600,21500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,2LT,Sedan,Automatic,1g1pe5sbxe7120097,CA,NULL,15686,Blue,Black,Avis Rac/San Leandro,13900,10600,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2015,Nissan,Altima,2.5 S,Sedan,Automatic,1n4al3ap5fc124223,CA,2,11398,Black,Black,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,14750,14100,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2015,Hyundai,Sonata,SE,Sedan,Automatic,5npe24af4fh001562,CA,NULL,8311,Red,NULL,Avis Tra,15200,4200,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2014,Audi,Q5,2.0T Premium Plus quattro,SUV,Automatic,wa1lfafpxea085074,CA,49,7983,White,Black,Audi North Scottsdale,37100,40000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Camaro,LS,Coupe,Automatic,2g1fa1e39e9134494,CA,17,13441,Black,Black,Wells Fargo Dealer Services,17750,17000,Tue Dec 30 2014 15:00:00 GMT-0800 (PST)
2014,BMW,6 Series,650i,Convertible,Automatic,wbayp9c53ed169260,CA,34,8819,Black,Black,The Hertz Corporation,68000,67200,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2015,Chevrolet,Impala,LTZ,Sedan,Automatic,2g1165s30f9103921,CA,19,14538,Silver,Black,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,24300,7200,Tue Jul 07 2015 09:30:00 GMT-0700 (PDT)
2014,BMW,5 Series,528i,Sedan,Automatic,wba5a5c51ed501631,CA,29,25969,Black,Black,Financial Services Remarketing (Lease),34200,30000,Tue Feb 03 2015 04:30:00 GMT-0800 (PST)
2014,Chevrolet,Camaro,LT,Convertible,Automatic,2g1fb3d31e9134662,CA,NULL,33450,Black,Black,Avis Rac/San Leandro,20100,14700,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2015,Audi,A3,1.8 TFSI Premium,Sedan,Automatic,wauacgff7f1002327,CA,49,5826,Gray,Black,Audi North Scottsdale,24000,23750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,BMW,6 Series,650i,Convertible,Automatic,wbayp9c57ed169262,CA,38,10736,Black,Black,The Hertz Corporation,67000,65000,Tue Jan 06 2015 12:30:00 GMT-0800 (PST)
2015,Hyundai,Sonata,SE,Sedan,Automatic,5npe24af4fh038482,CA,NULL,9281,Silver,Gray,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,15150,8500,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2015,Volvo,XC70,T6,Wagon,Automatic,yv4902nb3f1198103,CA,42,16506,Brown,Brown,Volvo Na Rep/World Omni,32100,32500,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2015,Volvo,XC70,T6,Wagon,Automatic,yv4902nb3f1196951,CA,48,12725,Beige,Beige,Volvo Na Rep/World Omni,32300,32500,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2014,BMW,X5,sDrive35i,SUV,Automatic,5uxkr2c52e0h33130,CA,NULL,11278,Gray,Black,Avis Rac/San Leandro,50400,34000,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2014,Chevrolet,Camaro,LT,Coupe,Automatic,2g1fb1e35e9238302,CA,42,11874,Gray,Black,Midway Hfc Fleet/Ars,22200,19500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,1LT,Sedan,Automatic,1g1pc5sb2e7105471,CA,42,37888,Gray,Black,Enterprise Vehicle Exchange/Orange,11600,11500,Tue Dec 30 2014 12:30:00 GMT-0800 (PST)
2014,Audi,SQ5,3.0T Premium Plus quattro,SUV,Automatic,wa1cgafp4ea030312,CA,42,9606,White,Black,Audi Of Downtown L A,48600,47500,Thu Jan 29 2015 04:00:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,Automatic,5xyktca60fg565226,CA,5,13757,Red,Black,Kia Motors America Inc,20600,20750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Audi,S5,Premium Plus quattro,Coupe,Automatic,waucgafrxea001689,CA,38,5875,Black,Black,Fratelli Investment Group,46500,44500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,Automatic,5xyktca68fg559481,CA,44,12862,Gray,Black,Kia Motors America Inc,20700,21000,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Buick,Verano,Convenience Group,Sedan,NULL,1g4pr5sk8e4175320,CA,2,19531,Gray,Gray,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,15000,9200,Tue Jan 06 2015 04:00:00 GMT-0800 (PST)
2015,Chevrolet,Suburban,LTZ,SUV,Automatic,1gnskkkc3fr187901,CA,45,11426,Black,Black,Midway Hfc Fleet/Ars,57300,59900,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,BMW,3 Series,328i SULEV,Sedan,Automatic,wba3c1c50ek108497,CA,5,111,Black,NULL,Financial Services Remarketing (Lease),32200,30500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2014,BMW,M5,Base,Sedan,Automatic,wbsfv9c56ed593069,CA,38,16360,Black,Black,The Hertz Corporation,65000,64250,Tue Jan 13 2015 04:30:00 GMT-0800 (PST)
2014,BMW,3 Series,328i SULEV,Sedan,Automatic,wba3c1c58ek106688,CA,45,9027,White,Black,Financial Services Remarketing (Lease),30200,27500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2014,Cadillac,ELR,Base,Coupe,Automatic,1g6rr1e48eu601450,CA,47,4436,Gray,Black,Rogue Cu,49400,44000,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
2015,Hyundai,Sonata,SE,Sedan,Automatic,5npe24af2fh014813,CA,NULL,9208,Silver,Gray,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,15700,10000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,BMW,6 Series,650i,Convertible,Automatic,wbayp9c50ed169281,CA,32,13205,White,Black,The Hertz Corporation,66000,65000,Tue Jan 06 2015 04:30:00 GMT-0800 (PST)
2015,Volvo,V60,T5,Wagon,Automatic,yv1612sb9f1202043,CA,41,11846,White,Beige,Volvo Na Rep/World Omni,31300,30000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,1LT,Sedan,NULL,1g1pc5sb6e7128803,CA,NULL,38261,White,NULL,Avis Tra,11450,2000,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2014,BMW,X6,xDrive35i,SUV,Automatic,5uxfg2c53e0h11080,CA,4,379,White,Black,Financial Services Remarketing (Lease),54800,51700,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2015,Volvo,V60,T5,Wagon,Automatic,yv1612sb1f1201503,CA,42,12242,Black,Gray,Volvo Na Rep/World Omni,31200,30000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,2LT,Sedan,Automatic,1g1pe5sb6e7118217,CA,34,40661,Silver,Black,Avis Corporation,13050,13000,Thu Jan 22 2015 03:30:00 GMT-0800 (PST)
2014,Acura,ILX,Technology Package,Sedan,Automatic,19vde1f70ee008913,CA,25,9051,Gray,Black,American Honda Motor Company,22700,21250,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,Automatic,5xyktca67fg570973,CA,5,13878,Silver,Black,Kia Motors America Inc,20600,20750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Volvo,V60,T5,Wagon,Automatic,yv1612sbxf1202276,CA,37,10906,Silver,Black,Volvo Na Rep/World Omni,31500,30000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2015,Nissan,Altima,2.5 S,Sedan,Automatic,1n4al3ap4fn313644,CA,NULL,10678,Gray,Black,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,15150,11600,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,BMW,6 Series Gran Coupe,650i,Sedan,Automatic,wba6b2c51ed129563,CA,42,7305,White,Black,The Hertz Corporation,65000,66100,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2015,Nissan,Altima,2.5 S,Sedan,Automatic,1n4al3ap1fn331213,CA,1,4314,Black,Black,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,15500,11500,Tue Dec 30 2014 12:00:00 GMT-0800 (PST)
2015,Kia,K900,Luxury,Sedan,Automatic,knalw4d42f6019667,CA,42,5304,Blue,Black,Kia Motors America Inc,39500,40000,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,Automatic,5xyktca63fg570727,CA,48,10357,Silver,Gray,Kia Motors America Inc,20700,20500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Chevrolet,Malibu,LT,Sedan,Automatic,1g11d5sl6fu106427,CA,1,6105,Silver,Black,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,16600,9800,Wed Jan 14 2015 07:05:00 GMT-0800 (PST)
2015,Lexus,RX 350,Base,SUV,Automatic,2t2zk1ba7fc155782,CA,43,7770,White,Black,Lexus Financial Services,41200,38400,Tue Dec 30 2014 00:00:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,Automatic,5xykt3a62fg579841,CA,5,5214,White,Black,Kia Motors Finance,19400,19300,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2014,BMW,M5,Base,Sedan,Automatic,wbsfv9c51ed097712,CA,47,7766,Gray,Black,Fratelli Investment Group,71000,77250,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2015,Kia,K900,Luxury,Sedan,Automatic,knalw4d42f6018633,CA,44,9684,White,Gray,Kia Motors America Inc,41000,41000,Tue Jan 20 2015 04:30:00 GMT-0800 (PST)
2015,Audi,A3,1.8 TFSI Premium,Sedan,Automatic,wauacgff6f1029938,CA,2,31,White,Black,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,24200,17300,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2015,Nissan,Versa,1.6 SL,Sedan,Manual,3n1cn7ap7fl842707,CA,39,1608,Purple,Black,Nissan-Infiniti Lt,10900,11000,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Camaro,LT,Coupe,Automatic,2g1fb1e35e9238493,CA,31,9914,Black,Black,Midway Hfc Fleet/Ars,22500,20600,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2015,Hyundai,Elantra,SE,Sedan,Automatic,5npdh4ae2fh565969,CA,1,7879,Silver,Gray,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,13800,10500,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,Automatic,5xyktca6xfg560888,CA,5,14176,White,Black,Kia Motors America Inc,20600,21250,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Camaro,LT,Coupe,Automatic,2g1fb1e33e9211499,CA,41,17594,Gray,Black,Midway Hfc Fleet/Ars,21500,19600,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2015,Audi,A3,1.8 TFSI Premium,Sedan,Automatic,wauacgff1f1002467,CA,5,1906,Gray,Black,Audi North Scottsdale,24100,25750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,BMW,6 Series,650i,Convertible,Automatic,wbayp9c55ed169261,CA,4,8037,Black,Black,The Hertz Corporation,67000,65000,Tue Jan 06 2015 12:30:00 GMT-0800 (PST)
2015,Nissan,Versa Note,1.6 SV,Hatchback,Automatic,3n1ce2cp8fl371361,CA,2,5773,Red,Black,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,12050,9000,Tue Jan 13 2015 12:00:00 GMT-0800 (PST)
2014,Audi,A8,L 3.0T quattro,Sedan,Automatic,waurgafd8en003111,CA,43,32918,Black,Black,Audi West Covina,62000,50000,Tue Dec 30 2014 12:30:00 GMT-0800 (PST)
2014,BMW,X1,sDrive28i,SUV,Automatic,wbavm1c53evw47779,CA,48,19689,White,Black,Financial Services Remarketing (Lease),23700,26500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,BMW,NULL,750Li,Sedan,Automatic,wbaye8c59ed134514,CA,43,12172,Black,Black,Financial Services Remarketing (Lease),67000,66000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Camaro,LT,Coupe,Automatic,2g1fb1e31e9248986,CA,1,20595,Red,Gray,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,20800,13600,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2015,Volvo,V60,T5,Wagon,Automatic,yv1612sb8f1201529,CA,4,13623,Silver,Black,Volvo Na Rep/World Omni,28400,28000,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2014,BMW,6 Series,650i,Coupe,Automatic,wbaym9c53ed248064,CA,4,9837,Black,NULL,Financial Services Remarketing (Lease),62000,61500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Camaro,LT,Coupe,Automatic,2g1fb1e37e9270877,CA,3,13606,Black,Black,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,21400,13000,Tue Jan 06 2015 13:00:00 GMT-0800 (PST)
2014,BMW,6 Series Gran Coupe,650i,Sedan,Automatic,wba6b2c53ed128866,CA,29,37752,White,Black,Financial Services Remarketing (Lease),62000,58000,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,Automatic,5xyktca68fg570979,CA,44,9161,Silver,Black,Kia Motors America Inc,20800,22250,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,Automatic,5xyktca65fg571619,CA,5,11001,White,Black,Kia Motors America Inc,20700,22500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Buick,Enclave,Leather Group,SUV,Automatic,5gakrbkd2ej294045,CA,1,14599,Gray,Black,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,31000,24100,Tue Dec 30 2014 12:00:00 GMT-0800 (PST)
2014,BMW,M5,Base,Sedan,Automatic,wbsfv9c54ed593085,CA,38,13386,White,Black,The Hertz Corporation,67000,65000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,BMW,M5,Base,Sedan,Automatic,wbsfv9c55ed593080,CA,41,15161,White,Black,The Hertz Corporation,66000,65801,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2014,Audi,TTS,quattro,Coupe,Automatic,trub1afk9e1007640,CA,28,3996,Silver,Black,Fratelli Investment Group,41400,34250,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2015,Hyundai,Elantra,SE,Sedan,Automatic,5npdh4ae2fh566023,CA,2,10551,Red,Gray,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,13850,10600,Tue Jan 13 2015 13:00:00 GMT-0800 (PST)
2014,BMW,4 Series,428i SULEV,Coupe,Automatic,wba3n7c55ef719079,CA,37,18152,White,Black,Street Smartz Auto Sales Corporation,31000,39750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,Automatic,5xyktca64fg570963,CA,46,13452,Silver,Black,Kia Motors America Inc,20600,21500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,2LT,Sedan,Automatic,1g1pe5sb5e7115504,CA,41,37938,Black,Black,Avis Rac/San Leandro,12950,13700,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,2LT,Sedan,Automatic,1g1pe5sb0e7134820,CA,42,39623,Blue,Black,Avis Corporation,13350,13200,Thu Jan 15 2015 03:30:00 GMT-0800 (PST)
2014,Chevrolet,Silverado 2500HD,Work Truck,Crew Cab,NULL,1gc1kvc84ef152736,CA,36,8742,White,Gray,Enterprise Fleet Management Exchange Inc.,34000,34000,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,Automatic,5xyktca60fg563086,CA,5,16348,Gray,Gray,Kia Motors America Inc,20500,20500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Hyundai,Elantra,SE,Sedan,Automatic,5npdh4ae2fh553630,CA,NULL,9750,Blue,Gray,Avis Rac/San Leandro,13700,10000,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2015,Hyundai,Elantra,SE,Sedan,Automatic,5npdh4ae4fh552981,CA,35,3367,Silver,Gray,Ag Leaseplan,13900,13200,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2014,Acura,MDX,Advance and Entertainment Packages,SUV,Automatic,5fryd3h83eb011004,CA,49,21523,White,Gray,Onemain Rem/M&M Auto Traders,39500,41500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2015,Ford,Fusion,SE,Sedan,Automatic,3fa6p0h7xfr151689,CA,1,4205,White,Black,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,14700,12000,Wed Dec 17 2014 15:05:00 GMT-0800 (PST)
2014,BMW,6 Series,650i,Convertible,Automatic,wbayp9c53ed169288,CA,37,8891,Silver,Black,The Hertz Corporation,68000,67200,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,2LT,Sedan,Automatic,1g1pe5sb8e7420706,CA,2,8154,Silver,Black,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,14150,10000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,Chevrolet,Silverado 1500,LT,Crew Cab,Automatic,3gcpcrecxeg363552,CA,37,6726,Black,Black,Repo Remarketing/Visterra Credit Union,26900,30250,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,2LT,Sedan,Automatic,1g1pe5sb4e7109323,CA,37,36771,Silver,Black,Avis Rac/San Leandro,13000,13600,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,Automatic,5xyktca67fg567068,CA,49,9552,Burgundy,Beige,Kia Motors America Inc,20800,21000,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,2LT,Sedan,Automatic,1g1pe5sb3e7406616,CA,1,10673,Red,Black,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,14150,3300,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2015,Volvo,V60,T5,Wagon,Automatic,yv1612sb6f1202338,CA,37,14806,White,Beige,Volvo Na Rep/World Omni,30700,30000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Camaro,LS,Coupe,Manual,2g1fe1e34e9190976,CA,44,7924,White,Black,Tdaf Remarketing,17850,18500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Nissan,Altima,2.5 S,Sedan,Automatic,1n4al3ap4fn310470,CA,1,12752,Gray,Black,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,14600,9500,Tue Dec 30 2014 13:00:00 GMT-0800 (PST)
2014,BMW,6 Series,650i,Convertible,Automatic,wbayp9c5xed169286,CA,38,19499,Silver,NULL,The Hertz Corporation,63000,62000,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2015,Hyundai,Elantra,SE,Sedan,Automatic,5npdh4ae0fh574105,CA,1,6759,Blue,Gray,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,13800,5800,Wed Dec 17 2014 15:05:00 GMT-0800 (PST)
2014,BMW,5 Series,535d,Sedan,Automatic,wbaxa5c52ed689665,CA,48,12292,White,Black,Financial Services Remarketing (Lease),46300,46500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2014,BMW,6 Series,650i,Convertible,Automatic,wbayp9c59ed169280,CA,37,15727,White,Black,The Hertz Corporation,66000,65000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,Automatic,5xyktca64fg570672,CA,49,13711,White,Black,Kia Motors America Inc,20600,21750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Cadillac,SRX,Luxury,SUV,Automatic,3gyfnbe32es536307,CA,44,8683,White,Black,Lease Plan Usa,33500,30000,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2014,BMW,X5,xDrive35i,SUV,Automatic,5uxkr0c54e0k49204,CA,5,4503,White,Black,Financial Services Remarketing (Lease),57500,57250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2015,Hyundai,Elantra,SE,Sedan,Automatic,5npdh4ae8fh565992,CA,2,7800,Silver,Gray,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,13800,9000,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,1LT,Sedan,NULL,1g1pc5sbxe7113253,CA,28,40393,Gray,Black,Avis Corporation,11450,11700,Tue Dec 30 2014 15:00:00 GMT-0800 (PST)
2014,Chevrolet,Silverado 1500,LT,Crew Cab,Automatic,3gcukrec9eg452373,CA,4,9685,White,Black,Ars/Acme Auto Leasing,31700,30000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,Automatic,5xyktca60fg570829,CA,5,10615,Burgundy,Black,Kia Motors America Inc,20700,20500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,Automatic,5xyktca61fg560973,CA,48,13031,Purple,Black,Kia Motors America Inc,20600,20750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Acura,ILX,Base,Sedan,Automatic,19vde1f38ee011281,CA,41,12905,Silver,Gray,American Honda Motor Company,19950,20400,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,Automatic,5xyktca61fg566806,CA,48,16611,Gray,Black,Kia Motors America Inc,20500,20750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Volvo,V60,T5,Wagon,Automatic,yv1612sb2f1201221,CA,41,12273,White,Beige,Volvo Na Rep/World Omni,31200,30000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Camaro,LT,Coupe,Automatic,2g1fb1e34e9292660,CA,NULL,11204,Black,Black,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,21900,10250,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,2LT,Sedan,Automatic,1g1pe5sb4e7102937,CA,42,40560,Gray,Brown,Avis Corporation,12800,12800,Thu Feb 12 2015 03:30:00 GMT-0800 (PST)
2015,Hyundai,Elantra,SE,Sedan,Automatic,5npdh4ae5fh572401,CA,NULL,5335,White,Gray,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,13850,6600,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2013,Infiniti,G Coupe,G37 Sport,G Coupe,Automatic,jn1cv6ek4dm921604,CA,45,14716,White,Black,Nissan Infiniti Lt,25900,25000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,Automatic,jn1cv6ap3dm726059,CA,46,68,Black,Black,Nissan Infiniti Lt,25700,27250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,Automatic,jn1cv6apxdm714541,CA,45,24112,White,Black,Nissan Infiniti Lt,22800,22500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Coupe,G37 Sport,G Coupe,Automatic,jn1cv6ek8dm920763,CA,47,4859,Black,Black,Nissan Infiniti Lt,27200,26750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Coupe,G37 Sport,G Coupe,Automatic,jn1cv6ek8dm900321,CA,45,21126,Black,Beige,Nissan Infiniti Lt,25100,26500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,Automatic,jn1cv6ap5dm714009,CA,42,26675,Blue,Black,Nissan Infiniti Lt,22500,23750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,Automatic,jn1cv6ap5dm713958,CA,42,19978,White,Black,Nissan Infiniti Lt,23300,24500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,FX,FX37,SUV,Automatic,jn8cs1mu2dm140046,CA,43,10532,Black,Black,Nissan Infiniti Lt,30800,32000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,Automatic,jn1cv6ap4dm712848,CA,41,25859,Blue,Black,Infiniti Financial Services,22700,21750,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
